courseID,areaOfStudy,courseName,description
"BUS 182",CST,"Business Principles",
BUS182,CST,"Business Principles",
"CDBM 190",CST,"Introduction to Database Management",
"CDBM 280",CST,"Database Management Systems",
CDBM190,CST,"Introduction to Database Management",
CDBM280,CST,"Database Management Systems",
"CNET 184",CST,"Data Communications and Networking 1",
"CNET 190",CST,"Network Administration 1",
"CNET 280",CST,"Data Communications and Networking 2",
"CNET 293",CST,"Network Administration 2",
"CNET 295",CST,"Directory Services",
CNET184,CST,"Data Communications and Networking 1",
CNET190,CST,"Network Administration 1",
CNET280,CST,"Data Communications and Networking 2",
CNET293,CST,"Network Administration 2",
CNET295,CST,"Directory Services",
"COAP 173",CST,"Data and Document Management",
COAP173,CST,"Data and Document Management",
"COET 295",CST,"Emerging Technologies",
COET295,CST,"Emerging Technologies",
"COHS 190",CST,Hardware,
"COHS 280",CST,"Service and Support",
COHS190,CST,Hardware,
COHS280,CST,"Service and Support",
COMM101,,"Intro to Business","Learn about business."
COMM210,,Accounting,"Learn about business."
"COOS 181",CST,"Operating Systems",
"COOS 291",CST,"Advanced Operating Systems",
"COSA 190",CST,"Systems Analysis and Design",
"COSA 195",CST,"Systems Project",
"COSA 280",CST,"IT Development Project 1",
"COSA 290",CST,"IT Development Project 2",
"COSC 180",CST,"Introduction to Programming",
"COSC 190",CST,"Intermediate Programming",
"COSC 195",CST,"Mobile Application Programming",
"COSC 286",CST,"Advanced Programming 1",
"COSC 291",CST,"Client and Server Programming",
"COSC 292",CST,"Advanced Programming 2",
"CPMG 195",CST,"Systems Project Management",
"CPMG 280",CST,"IT Development Project Management 1",
"CPMG 290",CST,"IT Development Project Management 2",
"CSEC 295",CST,"Security Topics",
"CWEB 180",CST,"Web Site Development",
"CWEB 190",CST,"Internet Programming/Web Applications 1",
"CWEB 195",CST,"Web Site Interface Design",
"CWEB 280",CST,"Internet Programming/Web Applications 2",
"MATH 282",CST,"Mathematics of Computation",
MED300,MED,"Pre-clerkship Electives      ",
MED301.3,MED,"Community Health & Epidemiology    ",
MED302.2,MED,"Systemic Pathology      ",
MED303.2,MED,"Microbiology and Infectious Diseases    ",
MED304.1,MED,"Professional Skills III     ",
MED305.8,MED,"Systems       ",
MED400,MED,"Electives    ",
MED401.4,MED,"Selective (CaRMS Interviews)  ",
MED403.2,MED,"Anesthesia    ",
MED404.6,MED,"Family Medicine & Emergency Medicine",
MED405.12,MED,"Internal Medicine   ",
MED406.6,MED,"Obstetrics & Gynecology  ",
MED407.6,MED,"Pediatrics    ",
MED408.6,MED,"Psychiatry    ",
MED409.8,MED,"Surgery    ",
MEDC100,MED,"Extra Curricular Medical Experiences I   ",
MEDC101,MED,"Basic Life Support for Health Care Providers ",
MEDC111,MED,"Success in Medical School I   ",
MEDC112.3,MED,"Medicine and Society I    ",
MEDC113.8,MED,"Clinical Skills I ",
MEDC114.4,MED,"Clinical Integration I",
MEDC115.18,MED,"Principles of Biomedical Science    ",
MEDC122.3,MED,"Medicine and Society II    ",
MEDC123.8,MED,"Clinical Skills II     ",
MEDC124.4,MED,"Clinical Integration II     ",
MEDC126.18,MED,"Foundations of Clinical Medicine I   ",
MEDC200,MED,"Extra Curricular Medical Experiences II   ",
MEDC211,MED,"Success in Medical School II   ",
MEDC212.3,MED,"Medicine and Society III    ",
MEDC213.8,MED,"Clinical Skills III     ",
MEDC214.4,MED,"Clinical Integration III     ",
MEDC216.18,MED,"Foundations of Clinical Medicine II   ",
MEDC222.3,MED,"Medicine and Society IV    ",
MEDC223.8,MED,"Clinical Skills IV     ",
MEDC224.4,MED,"Clinical Integration IV     ",
MEDC226.18,MED,"Foundations of Clinical Medicine III   ",
MEDC307.5,MED,"Core Rotations (7 rotations of 6 weeks each)",
MEDC308.16,MED,"Selected Topics in Medicine    ",
MEDC407.38,MED,"Elective Rotations      ",
MEDC408.2,MED,"Selective Rotations      ",
MEDC409.8,MED,"Preparation for Medical Practice    ",
"SEM 183",CST,Seminar,
"SEM 283",CST,Seminar,
"TCOM 180",CST,"Workplace Skills",
"TCOM 190",CST,"Technical Communications",
"TCOM 291",CST,"Career Path Search",
